Pollster,Source,Pollster Rating ID,# of Polls,NCPP / AAPOR / Roper,Live Caller With Cellphones,Methodology,Banned by 538,,Predictive    Plus-Minus,538 Grade,Mean-Reverted Bias,,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,,Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,,# of Polls for Bias Analysis,Bias,House Effect,,Average Distance from Polling Average (ADPA),Herding Penalty,Latest Poll
107,APC Research,4,2,no,yes,Live,no,,0.3,B/C,D +0.2,,100%,0%,2.5,5.1,-2.3,,-3.4,-0.2,,2,D +2.5,D +0.3,,,0,10/19/2014
108,Dittman Research,79,6,no,yes,Live,no,,0.3,B/C,D +0.5,,100%,33%,5.4,5.9,-0.3,,-0.8,-0.1,,5,D +4.6,R +1.0,,9.1,0,10/26/2010
109,Franklin & Marshall,106,21,yes,partial,Online/Live,no,,0.3,B/C,D +0.4,,86%,29%,6.4,6.5,0.1,,0.8,0.3,,18,D +1.1,D +2.1,,5.7,0.03,10/25/2018
110,SEA Polling & Strategic Design,302,12,no,yes,Live,no,,0.3,B/C,D +0.6,,83%,0%,3,5.4,-2.2,,-0.6,-0.2,,10,D +2.2,D +0.2,,3.5,0.53,10/19/2018
111,Clemson University,54,7,no,partial,Online/Live,no,,0.3,B/C,R +0.2,,100%,43%,8.7,7.7,1.2,,-3.5,-0.7,,1,R +16.7,R +9.7,,16,0,2/21/2020
112,Frederick Polls,108,2,no,yes,Live,no,,0.3,B/C,R +0.0,,75%,0%,2.4,6.5,-3.9,,-5.7,-0.3,,1,R +0.6,D +4.5,,10.5,0,10/17/2012
113,Univ. of New Hampshire,357,112,yes,yes,Live,no,,0.3,B-,D +2.8,,85%,26%,5.9,6,0.1,,0.5,0.4,,99,D +3.7,D +3.6,,5.6,0.1,2/8/2020
114,Market Decisions,184,4,no,yes,Live,no,,0.3,B/C,R +0.1,,100%,25%,4.7,5.2,-0.3,,-2,-0.1,,4,R +1.0,R +0.4,,5.5,0.65,10/20/2008
115,Park Street Strategies,534,1,no,yes,Live,no,,0.3,B/C,,,100%,0%,2.4,7.7,-5.1,,-2.8,-0.1,,0,,,,4.6,0,1/26/2020
116,Wiese Research Associates Inc.,382,7,no,yes,Live,no,,0.3,B/C,D +0.9,,100%,43%,7.3,6.6,0.9,,-0.3,0,,7,D +5.4,D +6.1,,,0,10/24/2012
117,GBAO,109,6,no,partial,Online/Live,no,,0.3,B/C,D +0.0,,75%,0%,3.7,6,-2.1,,-2,-0.4,,6,D +0.0,D +1.9,,,0,10/21/2018
118,University of Wisconsin-Milwaukee,366,4,no,yes*,Live*,no,,0.3,B/C,R +0.2,,100%,25%,4.4,6.1,-1.5,,-1.6,-0.1,,4,R +3.5,R +1.2,,3.9,0,10/21/2008
119,RBI Strategies & Research,271,2,no,yes,Live,no,,0.3,B/C,R +0.0,,100%,0%,0.7,5.6,-4.8,,-6.9,-0.4,,1,R +0.7,D +3.5,,5.1,0.17,10/25/2010
120,Valley Research,368,6,no,yes*,Live*,no,,0.3,B/C,D +0.2,,83%,17%,4.3,4.4,0.1,,-1.1,-0.1,,6,D +2.4,D +1.3,,2,0.21,10/24/2004
121,Research Co.,449,21,no,no,Online,no,,0.3,B-,R +0.5,,88%,14%,4.1,5.9,-1.7,,-1.9,-1,,20,R +1.1,D +0.8,,3.9,1.05,11/2/2018
122,MSR Group,178,3,no,yes*,Live*,no,,0.3,B/C,D +0.2,,100%,0%,3.5,6.8,-3.1,,-3.9,-0.2,,3,D +3.5,D +1.3,,,0,10/19/2004
123,Richard Day Research Inc.,287,11,no,yes*,Live*,no,,0.3,B/C,R +0.4,,100%,36%,5.5,5.3,0.4,,-0.3,0,,11,R +2.9,R +0.7,,5.5,0,10/21/2006
124,Lake Research Partners,165,10,no,partial,IVR/Online/Live,no,,0.3,B/C,D +0.6,,80%,20%,3.9,6.1,-1.9,,-2.2,-0.5,,10,D +2.4,D +3.4,,5.8,0.06,4/15/2018
125,Southern Media & Opinion Research,310,7,no,yes,Live,no,,0.3,B/C,R +0.1,,100%,14%,5.6,5.3,0.5,,-0.2,0,,7,R +0.7,R +1.6,,,0,11/29/2016
126,Mason Strategies,464,1,no,yes,Live,no,,0.3,B/C,D +0.1,,100%,0%,1.9,5.7,-3.6,,-4.8,-0.2,,1,D +1.9,R +4.1,,,0,10/18/2018
127,Research 2000,281,280,no,yes*,Live*,yes,,0.3,F,D +1.3,,88%,21%,5.5,5.8,-0.2,,-0.1,-0.1,,248,D +1.5,D +1.2,,4.6,0.24,1/16/2010
128,Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League),261,2,no,yes*,Live*,no,,0.3,B/C,,,100%,50%,6.9,9.4,-2.4,,-2.3,-0.1,,0,,,,,0,2/12/2008
129,Personal Marketing Research,252,3,no,yes*,Live*,no,,0.3,B/C,,,67%,33%,5.4,8.3,-2.7,,-2.6,-0.1,,0,,,,6.1,0.03,1/6/2004
130,High Point University,139,3,yes,partial,Online/Live,no,,0.3,B/C,D +0.0,,67%,33%,11.5,6.3,5.4,,3.1,0.4,,2,D +0.1,D +1.8,,6,0,2/25/2020
131,Targeted Persuasion,579,1,no,yes,Live,no,,0.4,B/C,,,100%,0%,0.9,8.3,-7.2,,-6.4,-0.3,,0,,,,,0,5/24/2016
132,University of Houston,351,1,no,yes,Live,no,,0.4,B/C,,,100%,0%,2,8.5,-6.3,,-6.3,-0.3,,0,,,,,0,2/17/2016
133,Market Solutions Group,188,4,no,yes*,Live*,no,,0.4,B/C,R +0.0,,100%,25%,4.4,6.6,-2,,-1.4,-0.1,,2,R +0.1,D +1.5,,4.4,0.45,10/19/2004
134,Moore Information,217,9,no,yes,Live,no,,0.4,B/C,R +0.7,,67%,11%,6.5,6.5,0.2,,-0.2,0,,9,R +4.1,R +5.0,,5.3,0.22,10/27/2014
135,Merrill Poll,206,2,no,yes,Live,no,,0.4,B/C,,,100%,50%,8.7,9.1,-0.2,,-0.7,-0.1,,0,,,,,0,3/9/2016
136,Richmond Times-Dispatch,288,4,no,yes,Live,no,,0.4,B/C,D +0.2,,100%,0%,3.3,4.9,-1.3,,-1.3,-0.1,,4,D +2.9,D +2.4,,5,0.17,10/23/2004
137,Mercyhurst University,422,1,no,yes,Live,no,,0.4,B/C,R +0.0,,100%,0%,0.7,5.7,-4.8,,-5.4,-0.2,,1,R +0.7,,,,0,10/18/2014
138,Odney,524,1,no,yes,Live,no,,0.4,B/C,D +0.1,,100%,0%,2.1,6.3,-4.1,,-4.8,-0.2,,1,D +2.1,R +8.0,,8,0,10/22/2014
139,University of Tennessee,362,2,no,yes*,Live*,no,,0.4,B/C,R +0.1,,100%,0%,2.7,5.1,-2.2,,-5.7,-0.2,,2,R +2.7,R +5.4,,,0,10/14/2004
140,Fabrizio Ward,90,3,no,yes,Live,no,,0.4,B/C,D +0.2,,33%,33%,5.7,6.1,-0.2,,-0.3,0,,3,D +2.1,R +4.5,,,0,10/17/2018
141,Frank N. Magid Associates Inc.,105,4,no,yes*,Live*,no,,0.4,B/C,D +0.3,,100%,25%,4.7,5.7,-0.8,,-1.7,-0.1,,4,D +4.7,R +0.9,,4,0.8,10/24/2002
142,Winston Group,385,3,no,yes*,Live*,no,,0.4,B/C,D +0.2,,67%,33%,4.2,5.3,-0.9,,-1.5,-0.1,,3,D +3.8,R +2.2,,2,0.7,10/23/2008
143,Gotham Research Group,576,1,no,yes,Live,no,,0.4,B/C,R +0.2,,100%,0%,5.8,6.4,-0.5,,-2.8,-0.1,,1,R +5.8,D +2.0,,6,0.75,10/23/2012
144,Strategic Services,319,2,no,yes*,Live*,no,,0.4,B/C,D +0.1,,50%,0%,4.2,5.7,-1.3,,-1.7,-0.1,,2,D +4.2,D +3.4,,,0,10/23/2006
145,RMS Research,273,2,no,yes*,Live*,no,,0.4,B/C,R +0.1,,100%,0%,2.3,5.9,-3.4,,-3.7,-0.1,,2,R +2.3,R +5.8,,4,0.35,10/22/2002
146,Knowledge Networks,164,3,yes,no,Online,no,,0.4,B/C,D +0.2,,100%,33%,4.2,4.5,-0.1,,-0.9,0,,3,D +4.0,D +0.6,,3.1,0.16,10/22/2008
147,Lincoln Institute,170,2,no,yes*,Live*,no,,0.4,B/C,R +0.1,,75%,0%,4.1,5.1,-0.8,,-2.5,-0.1,,2,R +4.1,D +2.7,,,0,10/17/2000
148,Midwest Survey and Research,209,3,no,yes*,Live*,no,,0.4,B/C,R +0.0,,100%,33%,7.3,5.8,1.7,,-1,0,,3,R +1.1,,,,0,10/26/2002
149,QEV Analytics,266,1,no,yes,Live,no,,0.4,B/C,,,100%,0%,2,6.5,-4.3,,-6.3,-0.2,,0,,,,,0,11/2/2009
150,Baruch College,22,2,no,yes,Live,no,,0.4,B/C,,,100%,0%,5.7,8.7,-2.9,,-0.3,0,,0,,,,9.2,0,4/8/2016
151,Neighborhood Research and Media,227,2,no,yes,Live,no,,0.4,B/C,R +0.1,,50%,50%,6.8,7.3,-0.4,,-0.2,0,,1,R +3.4,R +7.2,,8.4,0,1/16/2020
152,Univision,98,1,no,yes,Live,no,,0.4,B/C,D +0.0,,100%,0%,1.8,6.3,-4.3,,-6.1,-0.1,,1,D +1.8,R +13.0,,,0,10/16/2008
153,GfK Group,115,21,yes,no,Online,no,,0.4,B/C,D +0.2,,88%,19%,3.9,5,-0.9,,0.1,0,,21,D +0.6,D +1.3,,4.6,0.22,10/22/2016
154,Dan Jones & Associates,70,38,no,partial,Online/Live,no,,0.4,B-,D +1.0,,95%,21%,6.9,6.3,0.9,,-0.2,-0.1,,31,D +2.1,R +2.7,,9.8,0,10/24/2016
155,Centre College,47,1,no,yes,Live,no,,0.4,B/C,D +0.2,,100%,0%,3.9,5.4,-1.3,,-1.1,0,,1,D +3.9,D +2.3,,4.8,0.35,10/21/2016
156,Blumenthal Research Daily,447,2,no,yes,Live,yes,,0.4,F,R +0.2,,100%,0%,2.5,5.3,-2.6,,-1.7,-0.1,,2,R +1.8,R +3.1,,1,1.58,4/14/2018
157,New Mexico State University,230,1,no,yes*,Live*,no,,0.4,B/C,,,0%,0%,7.1,8.6,-1.3,,-1.7,0,,0,,,,,0,1/27/2008
158,Aspen Media & Market Research,17,1,no,yes*,Live*,no,,0.4,B/C,R +0.1,,100%,0%,3.5,5.7,-2.1,,-2.6,-0.1,,1,R +3.5,,,,0,10/22/2006
159,Voter/Consumer Research,371,6,no,yes,Live,no,,0.4,B/C,R +0.0,,100%,50%,5.2,5.7,-0.3,,-1.1,-0.1,,6,R +0.0,R +3.0,,2.5,1.19,10/19/2014
160,Jim Meader (KELOLAND-TV),159,4,no,yes*,Live*,no,,0.4,B/C,D +0.3,,100%,25%,4.6,5.5,-0.7,,-0.4,0,,4,D +4.6,D +4.4,,,0,10/21/2002
161,Garin-Hart-Yang,113,24,no,partial,Online/Live,no,,0.4,B/C,D +1.3,,85%,33%,5.5,5.7,0,,-0.5,-0.2,,24,D +3.2,D +4.7,,4.9,0.09,10/18/2016
162,Manhattanville College,181,3,no,yes*,Live*,no,,0.4,B/C,R +0.2,,100%,33%,6.5,6.7,0,,-0.9,0,,2,R +8.2,D +0.2,,7.2,0,2/22/2000
163,Canisius College,43,1,no,yes*,Live*,no,,0.4,B/C,,,100%,0%,0.1,8.6,-8.3,,-5.7,-0.1,,0,,,,,0,2/19/2004
164,Central Surveys Inc.,46,1,no,yes*,Live*,no,,0.4,B/C,D +0.0,,0%,0%,1.7,5.7,-3.8,,-3.5,-0.1,,1,D +1.7,D +2.3,,,0,10/17/2004
165,Scripps Howard,303,5,no,yes*,Live*,no,,0.4,B/C,R +0.1,,100%,40%,4.8,4.4,0.6,,-0.6,0,,5,R +2.2,R +2.7,,2.8,0.46,10/18/2002
166,Cooper & Secrest,60,1,no,yes*,Live*,no,,0.4,B/C,R +0.0,,0%,0%,2.6,5.8,-3,,-3.3,0,,1,R +2.6,,,,0,10/15/2002
167,Red Sea Communications,278,1,no,yes*,Live*,no,,0.4,B/C,R +0.1,,100%,0%,4.4,7.1,-2.5,,-3,0,,1,R +4.4,,,,0,10/24/2002
168,Thirty-Ninth Street Strategies,460,1,no,yes,Live,no,,0.4,B/C,R +0.1,,0%,0%,2,6.8,-4.5,,-2.8,-0.1,,1,R +2.0,R +2.4,,3,2.58,10/21/2018
169,Dynamic Marketing Inc.,83,1,no,yes*,Live*,no,,0.4,B/C,D +0.0,,100%,0%,3,6.2,-3,,-4.6,-0.1,,1,D +3.0,R +7.5,,,0,10/22/2000
170,Vox Populi Communications,529,1,no,yes*,Live*,no,,0.4,B/C,,,100%,0%,3.5,8.6,-4.9,,-3,0,,0,,,,6,0,2/15/2000
171,Diversified Research Inc,80,1,no,yes*,Live*,no,,0.4,B/C,R +0.1,,100%,0%,5,7,-1.8,,-2.2,0,,1,R +5.0,,,,0,10/19/2000
172,Global Strategy Group/National Research (Philadelphia Inquirer),119,4,no,yes,Live,no,,0.4,B/C,R +0.3,,100%,25%,3,5.3,-2.1,,-1.7,-0.2,,4,R +2.7,D +0.1,,2.3,1.93,10/24/2012
173,Lauer Lalley Victoria Inc.,168,1,no,yes*,Live*,no,,0.4,B/C,R +0.0,,100%,0%,1.7,6.6,-4.7,,-4.1,0,,1,R +1.7,D +4.0,,,0,10/18/1998
174,Overtime Politics,247,12,no,yes,Live,yes,,0.4,F,,,67%,42%,9.8,8.9,1.1,,0.4,0.1,,0,,,,6.9,0,2/22/2016
175,Becker Institute,26,3,no,yes*,Live*,no,,0.4,B/C,D +0.3,,67%,67%,6.9,6.4,0.7,,-0.2,0,,3,D +6.9,D +0.8,,11.5,0,10/23/2002
176,Ohio State University,236,1,no,yes*,Live*,no,,0.4,B/C,R +0.0,,100%,0%,3.7,5.1,-1.3,,-1.5,0,,1,R +3.7,R +5.8,,,0,10/18/2000
177,InsiderAdvantage,243,119,yes,no,IVR/Online,no,,0.4,B-,D +1.1,,70%,41%,7.2,7.2,0.2,,0.3,0.2,,42,D +1.8,D +0.3,,5.9,0,10/29/2018
178,Morningside College,536,1,no,yes,Live,no,,0.4,B/C,,,0%,0%,6.4,8.5,-1.9,,-1.3,-0.1,,0,,,,2.3,1.37,1/20/2020
179,Dartmouth College,72,3,no,yes,Live,no,,0.4,B/C,,,100%,67%,9.3,9,0.5,,0,0,,0,,,,,0,1/26/2000
180,Market Trends Pacific,190,1,no,yes*,Live*,no,,0.4,B/C,D +0.1,,50%,0%,4.5,5.5,-0.8,,-0.6,0,,1,D +4.5,D +2.5,,,0,10/21/2002
181,Basswood Research,24,2,no,yes,Live,no,,0.4,B/C,R +0.2,,100%,100%,10.7,7.7,3.2,,0.2,0,,1,R +13.0,,,,0,3/20/2016
182,Wick Communications,381,1,no,yes*,Live*,no,,0.4,B/C,D +0.1,,100%,0%,2.8,6.3,-3.2,,-1.4,0,,1,D +2.8,D +4.0,,5,1.19,10/27/2006
183,Bendixen & Amandi International,29,2,no,yes,Live,no,,0.4,B/C,D +0.1,,100%,0%,3,4.8,-1.7,,0.3,0,,2,D +1.6,D +3.2,,,0,10/22/2016
184,NRECA Market Research,223,1,no,yes*,Live*,no,,0.4,B/C,D +0.1,,100%,0%,6.3,5.5,0.9,,-0.6,0,,1,D +6.3,,,,0,10/20/1998
185,Associated Industries of Florida,18,2,no,yes,Live,no,,0.4,B/C,D +0.3,,50%,0%,3.4,4.5,-0.9,,0.3,0,,2,D +3.4,D +1.0,,,0,10/19/2016
186,University of North Carolina,359,1,no,yes*,Live*,no,,0.4,B/C,D +0.0,,100%,0%,1.6,5.4,-3.6,,-3.2,0,,1,D +1.6,R +1.6,,1,2.97,10/28/2002
187,University of Denver,348,2,no,yes,Live,no,,0.4,B/C,R +0.1,,100%,0%,3.4,5.2,-1.7,,-0.1,0,,2,R +1.0,R +1.1,,4.5,0.44,10/30/2016
188,Analytical Group,11,1,no,yes*,Live*,no,,0.4,B/C,D +0.1,,100%,0%,4,5.3,-1.1,,-0.8,0,,1,D +4.0,D +3.0,,3.7,0.86,10/26/2002
189,ASA Marketing Group,5,1,no,yes*,Live*,no,,0.4,B/C,D +0.1,,100%,0%,5.5,4.5,1.2,,0.1,0,,1,D +5.5,,,,0,10/28/2006
190,Belden Russonello,28,2,no,yes,Live,no,,0.4,B/C,D +0.1,,100%,50%,4.7,5.3,-0.3,,0.4,0,,2,D +3.3,D +5.4,,,0,10/18/2004
191,Feldman Group,93,2,no,yes,Live,no,,0.4,B/C,D +0.2,,50%,50%,6.7,5.4,1.4,,-0.4,0,,2,D +4.1,D +2.8,,1.5,0.84,10/29/2012
192,Meeting Street Research,204,1,no,yes,Live,no,,0.5,B/C,D +0.1,,100%,0%,2.6,5.1,-2.2,,-0.9,0,,1,D +2.6,D +5.3,,3,1.39,4/4/2017
193,University of Nevada Las Vegas,356,1,no,yes,Live,no,,0.5,B/C,,,100%,100%,8.9,8.6,0.5,,0.5,0,,0,,,,,0,1/29/2012
194,Cromer Group,65,1,no,yes*,Live*,no,,0.5,B/C,R +0.1,,100%,0%,3.9,5.3,-1.2,,0.6,0,,1,R +3.9,R +3.8,,,0,10/19/2006
195,West Virginia Research Center,378,2,no,yes*,Live*,no,,0.5,B/C,D +0.2,,50%,50%,6.4,5.4,1.2,,0.6,0,,2,D +6.4,D +3.8,,5.3,0.02,10/25/2000
196,Rhode Island College,285,5,no,yes*,Live*,no,,0.5,B/C,R +0.1,,100%,20%,6.1,6.1,0.2,,-0.1,0,,4,R +1.5,R +0.8,,3.9,0.68,10/24/2010
197,Braun Research,33,6,no,yes,Live,no,,0.5,B/C,D +1.2,,100%,50%,6.6,5.1,1.6,,0.4,0.1,,6,D +6.6,D +2.8,,2.5,0.17,10/21/2016
198,Zimmerman & Associates/Marketing Intelligence,394,3,no,yes*,Live*,no,,0.5,B/C,D +0.2,,100%,0%,4.7,6,-1.1,,0,0,,3,D +3.2,D +0.7,,2.2,0.72,10/18/2008
199,Virginia Commonwealth University,370,5,no,yes,Live,no,,0.5,B/C,R +0.2,,100%,20%,4.9,5.1,0,,0.5,0,,5,R +1.9,R +1.8,,5.3,0.13,10/23/2009
200,DFM Research,69,10,no,yes,Live,no,,0.5,B/C,D +1.5,,75%,40%,6.4,5.9,0.7,,0.1,0,,10,D +5.4,D +3.8,,2.5,0.47,10/25/2018
201,Public Strategies Inc.,264,6,no,yes*,Live*,no,,0.5,B/C,,,100%,33%,8,8.7,-0.6,,0.7,0.1,,0,,,,7.6,0,3/1/2008
202,Clarus Research Group,53,3,no,yes,Live,no,,0.5,B/C,D +0.3,,100%,33%,6.8,5,1.9,,0.8,0.1,,3,D +4.1,D +2.2,,,0,10/6/2011
203,Independent Market Research,148,2,no,yes*,Live*,no,,0.5,B/C,D +0.1,,100%,50%,5.8,5.1,0.8,,1.5,0,,2,D +5.3,D +4.2,,5.5,0.23,10/22/1998
204,University of Maryland,575,1,yes,no,Landline,no,,0.5,B/C,D +0.1,,0%,100%,6.6,4.8,2,,2.2,0,,1,D +6.6,D +2.2,,,0,10/15/2004
205,Insights West,151,9,no,no,Online,no,,0.5,B/C,R +0.1,,94%,0%,2.4,5.7,-3.1,,-3.7,-1,,8,R +0.4,R +1.0,,3.1,1.25,11/6/2016
206,Rice University,286,2,no,yes*,Live*,no,,0.5,B/C,D +0.2,,100%,0%,5.9,5.1,1,,0.2,0,,2,D +5.9,D +0.6,,2.3,1.34,10/27/2002
207,Val Smith,367,1,no,yes,Live,no,,0.5,B/C,R +0.2,,100%,0%,8.5,6.5,2.2,,1.9,0,,1,R +8.5,R +15.0,,,0,10/22/2008
208,Kiley & Company,162,3,no,yes,Live,no,,0.5,B/C,D +0.5,,100%,67%,6.6,5.7,1.1,,0.9,0.1,,3,D +5.5,D +9.2,,7.4,0,10/25/2012
209,SMS Research & Marketing Services Inc.,296,2,no,yes*,Live*,no,,0.5,B/C,R +0.2,,50%,50%,5.9,5.4,0.7,,0.3,0,,2,R +5.9,D +1.8,,1,1.44,10/19/2004
210,Old Dominion University,238,1,no,yes,Live,no,,0.5,B/C,D +0.1,,100%,0%,4.5,5.3,-0.6,,-1,0,,1,D +4.5,R +0.8,,0,2.78,10/22/2013
211,Polling Company/Global Strategy Group (Hotline Bullseye),255,4,no,yes*,Live*,no,,0.5,B/C,R +0.2,,25%,25%,4.3,3.6,0.9,,1.1,0.1,,4,R +4.3,R +2.8,,3.2,0.2,11/4/2000
212,Jeffrey Stonecash,158,1,no,yes*,Live*,no,,0.5,B/C,R +0.2,,100%,100%,8.4,4.8,3.8,,2.8,0.1,,1,R +8.4,R +16.5,,22,0,10/29/2006
213,A&A Research,2,1,no,yes*,Live*,no,,0.5,B/C,R +0.1,,0%,100%,10,6.3,3.9,,3.6,0.1,,1,R +10.0,,,,0,10/22/2002
214,TMR Research,328,2,no,yes*,Live*,no,,0.5,B/C,D +0.2,,0%,50%,7.9,5.1,3,,2.7,0.1,,2,D +7.9,D +6.7,,,0,10/18/1998
215,"California State University, Bakersfield",41,1,no,yes*,Live*,no,,0.5,B/C,R +0.1,,0%,100%,9.9,5.9,4.1,,4.4,0.1,,1,R +9.9,R +14.0,,,0,10/20/2000
216,West Chester University,377,7,no,yes*,Live*,no,,0.5,B/C,D +0.1,,100%,14%,5.2,5.3,0,,0,0,,7,D +1.0,D +2.3,,3.7,0.89,10/24/2006
217,Illinois Wesleyan University,147,3,no,yes*,Live*,no,,0.5,B/C,R +0.3,,100%,33%,8.2,5.9,2.4,,1.5,0.1,,3,R +8.2,R +5.9,,5,0.25,10/21/2002
218,Hill Research Consultants,140,5,no,yes,Live,no,,0.5,B/C,R +0.3,,60%,20%,5.3,5.6,-0.1,,-0.3,0,,5,R +3.7,R +2.7,,2.2,1.49,10/15/2008
219,OnMessage Inc.,239,11,no,yes,Live,no,,0.5,B/C,R +1.4,,82%,27%,6.4,5.7,0.8,,0.7,0.2,,11,R +5.0,R +6.2,,8.3,0,10/17/2018
220,Tulsa Surveys,341,1,no,yes*,Live*,no,,0.5,B/C,R +0.1,,100%,100%,11.9,4.5,7.6,,5.8,0.1,,1,R +11.9,,,,0,10/18/1998
221,Ipsos/Reuters,154,66,yes,no,Online,no,,0.5,B-,D +0.4,,70%,21%,4.6,4.8,0,,0.4,0.3,,60,D +0.5,D +1.0,,3.7,0.06,11/5/2018
